Actual,Error,Predicted
26500000,-6599.304145270559,-26506599.30414527
23950000,-6035.346368318571,-23956035.34636832
23950000,-6035.346368318571,-23956035.34636832
23900000,-6350.959726858051,-23906350.95972686
23888000,-7717.928537020427,-23895717.92853702
23888000,-7717.928537020427,-23895717.92853702
23450000,-6175.376793528746,-23456175.37679353
22995000,-5430.199394892776,-23000430.199394893
20900000,-3795.7901803357395,-20903795.790180337
19500000,-4294.326923398628,-19504294.3269234
19500000,-4368.981784535538,-19504368.981784534
18000000,-4263.768790194141,-18004263.768790193
17900000,-6350.751872775435,-17906350.751872774
17000000,-2306.685153164012,-17002306.685153164
16995000,-3612.0414400472673,-16998612.041440047
16995000,-5753.0138707631495,-17000753.013870765
16950000,-6397.704525661641,-16956397.70452566
16888000,-6309.407117914555,-16894309.407117914
16500000,-6636.028442167666,-16506636.028442167
15999000,-4284.340162692062,-16003284.340162693
15450000,-4637.409408088128,-15454637.409408089
15000000,-9134.98754629849,-15009134.987546299
15000000,-3423.0181190011863,-15003423.018119002
15000000,-6383.64655260551,-15006383.646552606
15000000,-6278.023134676201,-15006278.023134677
14950000,-8504.412155694605,-14958504.412155695
14900000,-7511.3705456510925,-14907511.370545652
14850000,-7516.420985883385,-14857516.420985883
14700000,-7413.676932458277,-14707413.676932458
14250000,-3931.8060117779273,-14253931.806011777
14200000,-4709.100063556307,-14204709.100063557
13999000,-4574.270106161697,-14003574.270106161
13995000,-7770.700973711443,-14002770.700973712
13950000,-8450.094090813676,-13958450.094090814
13750000,-749.4914183781872,-13750749.491418378
13588000,-4716.201674374295,-13592716.201674374
13000000,-2167.303424230978,-13002167.303424232
12999000,-3083.3438912326833,-13002083.343891233
12980000,-6132.732106383835,-12986132.732106384
12900000,-7358.004920299875,-12907358.0049203
12850000,-6964.65134450289,-12856964.651344502
12700000,-8586.300905714212,-12708586.300905714
12500000,-7061.151608323526,-12507061.151608324
12400000,-3832.2449854373626,-12403832.244985437
11999000,-6636.658502018851,-12005636.658502018
11995000,-6761.628902259733,-12001761.62890226
11900000,-2823.670440751914,-11902823.670440752
11800000,-4444.064236169928,-11804444.06423617
11590000,-8010.3102277977205,-11598010.310227798
11500000,-4679.6579360008145,-11504679.657936001
11500000,-7470.355043153502,-11507470.355043154
11500000,-4289.887385307768,-11504289.887385307
10995000,-5788.891491642366,-11000788.891491642
10995000,-8330.128456887776,-11003330.128456887
10990000,-5064.974866239969,-10995064.97486624
10980000,-3638.106304596929,-10983638.106304597
10900000,-7059.062305503971,-10907059.062305504
10800000,-5262.3254219466,-10805262.325421946
10500000,-5939.580591072394,-10505939.580591073
10000000,-5872.64190359821,-10005872.641903598
9995000,-6821.8507853389265,-10001821.85078534
9900000,-6237.302859985934,-9906237.302859986
9850000,-5556.151417256418,-9855556.151417257
9500000,-7426.366812348049,-9507426.366812348
9498000,-5068.019918250055,-9503068.01991825
9495000,-6667.672089026205,-9501667.672089025
8999995,-5743.8361006579635,-9005738.836100658
8995000,-7401.283769086701,-9002401.283769086
8995000,-7401.283769086701,-9002401.283769086
8995000,-5011.317852904354,-9000011.317852905
8995000,-5011.317852904354,-9000011.317852905
8988000,-8157.177409320579,-8996157.177409321
8950000,-5628.988410509162,-8955628.988410508
8850000,-7707.223415863319,-8857707.223415863
8799000,-7357.734427315244,-8806357.734427316
8750000,-6934.419607001359,-8756934.419607002
8675000,-3673.1270665361217,-8678673.127066536
8495000,-6343.506307298739,-8501343.506307298
8450000,-8246.576725670102,-8458246.57672567
8350000,-7787.0880587749925,-8357787.088058775
8295000,-7053.6970670365445,-8302053.697067036
7999999,-7012.376299999261,-8007011.3763
7999950,-4249.067356433935,-8004199.067356434
7999800,-5356.13525340212,-8005156.135253402
7995000,-5132.654487789198,-8000132.65448779
7995000,-7971.0521684676905,-8002971.052168468
7995000,-7651.009852660329,-8002651.00985266
7950000,-6353.325213280986,-7956353.325213281
7950000,-6676.457139885841,-7956676.457139886
7950000,-6676.664993968457,-7956676.664993969
7900000,-7778.601645959095,-7907778.60164596
7888000,-6977.857387960319,-7894977.85738796
7850000,-7008.91657086199,-7857008.916570862
7800000,-7008.934293988954,-7807008.934293989
7800000,-6590.022154922763,-7806590.022154923
7795000,-6907.917632197259,-7801907.917632197
7777777,-4349.483591215623,-7782126.483591216
7750000,-8267.291529539187,-7758267.291529539
7750000,-5694.472118080415,-7755694.472118081
7750000,-7163.3978937513275,-7757163.397893751
7695000,-6524.930383323625,-7701524.930383324
7650000,-8815.935058480582,-7658815.93505848
7500000,-5250.070912383166,-7505250.0709123835
7500000,-8551.781399923113,-7508551.781399923
7500000,-3355.559443079451,-7503355.55944308
7500000,-4365.246130267717,-7504365.246130268
7500000,-6683.856945996849,-7506683.856945997
7500000,-7927.758359844169,-7507927.758359844
7500000,-8186.049090350421,-7508186.04909035
7499995,-5434.490464409238,-7505429.490464409
7495000,-6091.328203022518,-7501091.3282030225
7495000,-7280.30180732382,-7502280.3018073235
7450000,-8511.825572067568,-7458511.825572068
7400000,-7382.17391078967,-7407382.17391079
7395000,-6547.786575155823,-7401547.786575156
7300000,-6609.159022059385,-7306609.159022059
7300000,-7020.048027459511,-7307020.0480274595
7295000,-7584.453342241975,-7302584.453342242
7295000,-8534.505909546147,-7303534.505909546
7250000,-7396.009076464744,-7257396.009076465
7250000,-6214.2198675565205,-7256214.219867556
7250000,-6115.320223969279,-7256115.320223969
7200000,-9420.100887992687,-7209420.100887992
7195000,-7282.061325263861,-7202282.061325264
7195000,-7245.056361249035,-7202245.056361249
7000000,-5236.5382086513355,-7005236.538208651
7000000,-5236.5382086513355,-7005236.538208651
7000000,-8350.840235274332,-7008350.840235274
6998000,-6485.51892494025,-7004485.51892494
6995000,-4854.592450973955,-6999854.592450974
6995000,-7076.3494973284005,-7002076.3494973285
6995000,-6785.729236025821,-7001785.729236025
6995000,-7674.419229387404,-7002674.419229387
6995000,-4711.630791375748,-6999711.630791375
6995000,-7484.811303354111,-7002484.811303354
6980000,-5937.878224433687,-6985937.878224433
6975000,-5545.751109504435,-6980545.751109504
6900000,-8377.29314320093,-6908377.293143201
6880000,-7389.002308135978,-6887389.002308136
6880000,-7389.002308135978,-6887389.002308136
6866000,-7584.321637137297,-6873584.321637137
6850000,-8482.440673866156,-6858482.440673866
6775000,-6919.209310868316,-6781919.209310869
6750000,-7427.361656011491,-6757427.361656011
6700000,-7490.1111082375355,-6707490.111108238
6599000,-6103.134096661188,-6605103.134096662
6500000,-7928.908754678213,-6507928.908754678
6495000,-6952.407137935407,-6501952.407137935
6495000,-6748.914504968522,-6501748.914504969
6495000,-5599.962049708832,-6500599.962049709
6495000,-4601.39915011459,-6499601.3991501145
6395000,-6711.880919535804,-6401711.880919536
6300000,-8097.99701401478,-6308097.997014015
6200000,-6891.504202818355,-6206891.5042028185
6005725,-3151.5702325730435,-6008876.570232573
6000000,-6772.958598417281,-6006772.958598417
5999999,-9022.97109980639,-6009021.971099806
5995000,-8110.422505148457,-6003110.422505149
5995000,-7956.071435787183,-6002956.071435787
5995000,-8317.250858354326,-6003317.250858354
5995000,-9074.052152271239,-6004074.052152271
5995000,-7917.305175964262,-6002917.305175965
5990000,-7322.738385306392,-5997322.738385307
5980000,-6094.4946903786495,-5986094.494690378
